,epoch,owner,indy_staked
78,430,5174ab849efa5337d220c79f849aa39ee378cd42b3ea9a2cc55ff905,6617145
79,430,5dc64a76dbf62d32c295eb29e6693f80969eb2f53500ac5d3640bc45,700000000
80,430,b27ac4c0f3a45ce9bc3d8ac970e8bc00b93c42d20af0544c91e6bd67,5000000
81,430,baac90fc7d908eee559fe3cba91e071474e4bf9373c8f5db65e87da5,36015923
82,430,17e6192c507aa42939888c9354ab8ad76b387cdd923668c0999a198b,50200803
83,430,3cb3fac6334444e737d3f8964ed71c03a624dad948501dd17b4a834d,27050977
84,430,7a730560b9ebceba314474dcd86bef107ba8a3ca8b51be98d68c1d05,242050180
85,430,a443b6f8a164a0095b12cf31e780203ce46c3a884e8548461aa61d6e,60071527
86,430,afd88bccd3a8ac6e08b70a68fd80335692bb5f2b34229232139c76c3,105531394
87,430,458b594e95032999db66b0398ed0ee9dc5c21e67cb291a03a818b89b,33703691
88,430,96fd26a13808a0837bcf27d13c369a17a98c3f22a3203569958f4183,55200803
89,430,c040328f6fd4031c818c6c2c54ae24ffb2ccdab3ecfa823f86d857e8,25200803
90,430,1a622a828aa93c1e65f851dc9635968ccb74798f66c4949b3a255a4e,8491956
91,430,4c90080d9b9cce14d4dd363d8cbd6fc0a07131132be98fd0068ad461,5000000
92,430,f1941806e0e53db29741bc66806a13254d63742762ebea9c583b530e,11625333815
93,430,b393916fea3fcf2c7ab1d1ab10c47cfe311f20e7ae95a2affd8407c1,71668872
94,430,e819b606d66c58f04240d1e4d200c0e637ca425132af362ca891b91f,60200803
95,430,4f14a2f4c86d658428a511f1017eae6f0524f875ddad42e4c09e48da,50200803
96,430,af750b916874672682ceb0bc47f47c5291d0959f21af0c220d247e2f,68188223
97,430,2f5591d28d1e274f1f7702536ccb8e024c03a490eb5cd8b6eda72c8d,57054266
98,430,9af2b2ddc1a922f35e40e59121ebf7b6ebfd7ed2f40c790a30359314,408000000
99,430,7100a5fc6d8a8a1854e81306d428ddbef83c1f6c93d49eb11dd9d5a2,377217625
100,430,6a39cb26c6a2823249a00a767353304514a5ceadccdc570d602910df,54969770
101,430,2ee37d3aef0e6c389b821bcfd21de3e220b9a837559357e2e2bd87bc,55200803
102,430,53494b753f7670d751b575f6d4559aeb0d1a55e8e1b60a85e73e2df0,16951390
103,430,832e90183c6eb6269627501eeefd9248d24265205d2b3f92b7e8d5ec,210335493
104,430,b99ed6beaeb26ac76d6fec241f72766ad444ca3f22a8150f2221f3d9,10855203
