epoch,addr,purpose,date,amount,Expiration,AvailableAt
452,53494b753f7670d751b575f6d4559aeb0d1a55e8e1b60a85e73e2df0,SP reward for iBTC,2023-11-27,30521,29-02-2024 21:45,01-12-2023 23:00
452,54305958538cfe7e957863cc9f844dd6eedb9a0e654df4405636a554,SP reward for iBTC,2023-11-27,4792,29-02-2024 21:45,01-12-2023 23:00
452,5f7d1aba60a090039edbb0294ccb27d3617a8827396b292ee49dec9f,SP reward for iBTC,2023-11-27,14900,29-02-2024 21:45,01-12-2023 23:00
452,9ec26f63bfe50214282ef7ab89765bb7d647271ab7952de6815fbc19,SP reward for iBTC,2023-11-27,4420,29-02-2024 21:45,01-12-2023 23:00
452,9430bd1b6d9bf6308dec0be93790ab927ac721606a76b52a7cf26ae6,SP reward for iBTC,2023-11-27,15315,29-02-2024 21:45,01-12-2023 23:00
452,92cc4d0251f53a24f5366fb898c1681fee4d41123eab48bca6293ba1,SP reward for iBTC,2023-11-27,47147,29-02-2024 21:45,01-12-2023 23:00
452,529828b5fb8e3347ffc11e615fead9d06250f5457c828595bba6d3ba,SP reward for iBTC,2023-11-27,248086,29-02-2024 21:45,01-12-2023 23:00
452,afe4f9c05f0b2fe3e561b4367044d774119a0029c6e8e25e92488a40,SP reward for iBTC,2023-11-27,88672,29-02-2024 21:45,01-12-2023 23:00
452,30f730fb260aed1721ae7ec3d6ba003509bc8d125ddbf93ddf51cfac,SP reward for iBTC,2023-11-27,4238,29-02-2024 21:45,01-12-2023 23:00
452,a2b3fc71aa466e489bef35c30ca8b4a9388f701ab0cd73c9c81a5409,SP reward for iBTC,2023-11-27,14383,29-02-2024 21:45,01-12-2023 23:00
452,8bb9c1842b5df8a44359e65982adb4d2a7d0cb745a2b8488592e3d9f,SP reward for iBTC,2023-11-27,20406,29-02-2024 21:45,01-12-2023 23:00
452,06126a123250e0920b44678709da9d6d06d9edca5ecc7c532ac49aad,SP reward for iBTC,2023-11-27,7,29-02-2024 21:45,01-12-2023 23:00
452,12f84d27cceeee594ed1f7928398c1653346becbbc159e80556cc6fd,SP reward for iBTC,2023-11-27,28955,29-02-2024 21:45,01-12-2023 23:00
452,1434b0f9b0d42bdfe065dfbde6089def626c28128e2b25234b8409db,SP reward for iBTC,2023-11-27,4530,29-02-2024 21:45,01-12-2023 23:00
452,a61e01183e93a2bd0cb1ee515fe8c652c33404cb1643c0bb5867cd63,SP reward for iBTC,2023-11-27,3102,29-02-2024 21:45,01-12-2023 23:00
452,e1a70a14406e84b401683a3b044d3fc7dbec76833c7e7e934585b678,SP reward for iBTC,2023-11-27,261471,29-02-2024 21:45,01-12-2023 23:00
452,9bf780683ee09b92d00a465c519ef7febf74a26e6ff45fd9af96e496,SP reward for iBTC,2023-11-27,80450,29-02-2024 21:45,01-12-2023 23:00
452,514ec5e427280c6bca6a0d79dea12bc793673a7241ba8f6f982a542e,SP reward for iBTC,2023-11-27,26122,29-02-2024 21:45,01-12-2023 23:00
452,d5783eeb99454513796d07833a55b33d041157aa2557f641d50b7f13,SP reward for iBTC,2023-11-27,51,29-02-2024 21:45,01-12-2023 23:00
452,ad122b9fa3ab86495712afd2a6f655430427c2cf21a54fd0c8fe8e63,SP reward for iBTC,2023-11-27,53119,29-02-2024 21:45,01-12-2023 23:00
452,5b57fb20f89e6a300ba3160a8339a32e0ea1751c776d874df2154527,SP reward for iBTC,2023-11-27,1340,29-02-2024 21:45,01-12-2023 23:00
452,637d1f755c749370501adf2605aed6c5ecf198e037a12ed3bfc02f89,SP reward for iBTC,2023-11-27,7508,29-02-2024 21:45,01-12-2023 23:00
452,10bc27afabbda7fc02b15506968725e6af86ff6932f30a128d1d2f9e,SP reward for iBTC,2023-11-27,16102,29-02-2024 21:45,01-12-2023 23:00
452,5d4a3c04c9a3115bf18cc6a37a4388050eadb756253bedf452d8efa2,SP reward for iBTC,2023-11-27,101860,29-02-2024 21:45,01-12-2023 23:00
452,856d18a37ff1be2074f1904f3db9d2d45ea8badc88a3ff443836b97e,SP reward for iBTC,2023-11-27,35590,29-02-2024 21:45,01-12-2023 23:00
452,a33c563393379855e9b6f66e6830ceac659fac8982b06d4128b21722,SP reward for iBTC,2023-11-27,2636,29-02-2024 21:45,01-12-2023 23:00
452,5d464f67736cef9286be8854cdd17fdceeca017d2b0bb56c76db64f2,SP reward for iBTC,2023-11-27,113665,29-02-2024 21:45,01-12-2023 23:00
452,e1dabf1e8691c018fda047487415acf4ed06b874cc7e2bb639dd1845,SP reward for iBTC,2023-11-27,7086,29-02-2024 21:45,01-12-2023 23:00
452,63d62b85ce675ee25e9e0da4c846d9843afc136a494b52ccdc2e48e2,SP reward for iBTC,2023-11-27,22,29-02-2024 21:45,01-12-2023 23:00
452,a7b9ee64702f425ec79d48bec8dc50489e4996c684b3624233bf6e3b,SP reward for iBTC,2023-11-27,47001,29-02-2024 21:45,01-12-2023 23:00
452,f6babe82e81a1d51f5e4368647e69d71363450dec2d259c239658201,SP reward for iBTC,2023-11-27,35094,29-02-2024 21:45,01-12-2023 23:00
