,Period,Address,Purpose,Date,Amount,Expiration,AvailableAt
130,453,694abb439fba197ce0ee7420e98cb6a8f1535069b1bd6e65cf3c3db1,SP reward for iBTC,2023-12-02,44919,2024-03-05 21:45,2023-12-06 23:00
131,453,a21ad32e6fdf1ed6d0ffdec01e71a481dc2b0c8ec0290f2ed9f227c1,SP reward for iBTC,2023-12-02,595,2024-03-05 21:45,2023-12-06 23:00
132,453,476b3ff004d654d9792905df08b6122ce7f0934776fd4cfe14619e1f,SP reward for iBTC,2023-12-02,2585,2024-03-05 21:45,2023-12-06 23:00
133,453,43b8e3375ecf90169230d91ce92863d0b041ed4c8668cc87d17ea980,SP reward for iBTC,2023-12-02,8533,2024-03-05 21:45,2023-12-06 23:00
134,453,7dc85fe5487b335c2da93f88ece77f627227d835da86e4eb193312d4,SP reward for iBTC,2023-12-02,7,2024-03-05 21:45,2023-12-06 23:00
135,453,6c2c506ec04e624743404ae1688a4fc6f668de7ac6990612e26246d0,SP reward for iBTC,2023-12-02,7248,2024-03-05 21:45,2023-12-06 23:00
136,453,bd2a3bc90f29b243b3034ce2db38942aac3e16c7ebe0016add056d53,SP reward for iBTC,2023-12-02,3158,2024-03-05 21:45,2023-12-06 23:00
137,453,fa447f916a5a021053692ded933c27349eec25674d8d0cd7470f0125,SP reward for iBTC,2023-12-02,764,2024-03-05 21:45,2023-12-06 23:00
138,453,a6dbba290877e35a99d112108edf8c59364f9d06d0de28484b88d592,SP reward for iBTC,2023-12-02,1079,2024-03-05 21:45,2023-12-06 23:00
139,453,79e3d59ab4a72ee17c3f6ee81f262aada5ba9f9c9293eb3b07363224,SP reward for iBTC,2023-12-02,83457,2024-03-05 21:45,2023-12-06 23:00
140,453,56460232600f7f83c802cd4d754d1df5909498ba129dd9b921490ba5,SP reward for iBTC,2023-12-02,33677,2024-03-05 21:45,2023-12-06 23:00
141,453,d218cf8074ea70f71c6cb07461ea99c98ea021dce93f8ef31e17a07c,SP reward for iBTC,2023-12-02,2996,2024-03-05 21:45,2023-12-06 23:00
142,453,9b314b76487603dec62a43cfeea584dae73cd42e7f83871495974fdb,SP reward for iBTC,2023-12-02,17484,2024-03-05 21:45,2023-12-06 23:00
143,453,dbe4f7a84a446f0945219f3e126c627216733c00f33ac99e0184f0d7,SP reward for iBTC,2023-12-02,59040,2024-03-05 21:45,2023-12-06 23:00
144,453,7a069e44ff96e9f9c7dd2097650124d542e88638fbcc67de7e168139,SP reward for iBTC,2023-12-02,25804,2024-03-05 21:45,2023-12-06 23:00
145,453,fd84357990c85741e74703ffc003798059eecfc6cd9ee37c98e93fd8,SP reward for iBTC,2023-12-02,4641,2024-03-05 21:45,2023-12-06 23:00
146,453,e544d0152f17bacc61736bea720477a416dbd60ead88c42cf6dda564,SP reward for iBTC,2023-12-02,20855,2024-03-05 21:45,2023-12-06 23:00
147,453,3349450c00e6bcd2b48a1adba10b32343f045abd172ec4b9b297faad,SP reward for iBTC,2023-12-02,395850,2024-03-05 21:45,2023-12-06 23:00
148,453,226efff56376642abcea869757e787dbe8916c694dc8ea69be81d4d3,SP reward for iBTC,2023-12-02,6998,2024-03-05 21:45,2023-12-06 23:00
149,453,627af63a775267b8a3f8fbed2a0f823e5e99d679522adec252f2c8ff,SP reward for iBTC,2023-12-02,95405,2024-03-05 21:45,2023-12-06 23:00
150,453,78278bcb9c677979118fb293f6b2ea731711d27c4c00a6c6477081c8,SP reward for iBTC,2023-12-02,60186,2024-03-05 21:45,2023-12-06 23:00
151,453,611dd956af4745b49b478a9fec15b7ba57c9ddaa111c15a08fc3b407,SP reward for iBTC,2023-12-02,12197,2024-03-05 21:45,2023-12-06 23:00
152,453,e31737eff954647c3cfb076fc5ec72a889d3d7b27a875fdf2fd1b379,SP reward for iBTC,2023-12-02,7,2024-03-05 21:45,2023-12-06 23:00
