owner,indy_staked
af7ea0c07f8c05d8c8e27b25a70ae93cff2159b4224f0f032e366d3a,124720966
ae6b8f00e7d5c35f9288bdf57264abb8046581f24f9e91f95d475203,27257135
2e5692429e007cf9257b86f3685710aa0f98895b86b13a0c5ebfff47,62556421
92ba863f983fe5f98e487a0d09cfe201164565ced6e7bf2dc1ebcc93,280245807
ed2d886c9096287956f5c505925a4921e587a7fb6b9216a178616076,290676124
07f8072b057b786413cc9d9d0f4f85401b2cbcefa26ab759e29e4967,144797570
6db6a0cc3bc16b7a83677e4214142566720c6cceafd7fad6989f03ac,223817295
96700814f5d8d43bbcbd1bf9cbc9f6962211a552b1d8bf8435f082ed,123391163
c1ecfddcc1b386980d2cad46efaad99e373cf70398b7c01db68e4f4f,97820211
08abc365d15eb5a450ff8ed2a6207bfa3cb5a0df4ec1ddd0e6636026,1175487
413db31f3431a36ed0a6278f9739ab6224bdfb66565ddfde63d03f42,35000000
df7913dcf197ce420559c44053ce7de8c847e050f02e4ee7ee8aa697,1111796551
58565b9a0b90f766dad48a3cb365453b452565ecb6773a55a5517b48,1967001903
1ba2ea8285e0bbba7e21b479579ac18fa99832b93752a7d5817ab96b,54914931
378fe198237c90445a579452585222f4607278016ddef57b000ea2b8,89742495
ac9f05c32ba22bd69c748a56ebfda32353e10d3a88e00187ed27bc98,4793894044
bb065d2662a76b6a4be9b01e41d5c3f50462c1dda589da692b9754da,11461980094
a7f79572dce483259853583258d9d81c91d64b82d0491406f16b7978,412901440
23d61360dc8643e3e24d596c728267db0c3e4482a8b427aab33cda5e,176585899
a6f66c93710cba6e2e9d6355d054e09189e79575a212e3317ff32df7,8347156036
19c87ada5b44424a2f54fdd13b556f9306ef9f1356359c57581abd4f,30000000
d1dfdc372473ddb4560329d7f25e0ba4a82c9a515d69a8b210372585,259554449
19df790de68be8b9ddd1eba594d4f4fbe1e54dbfddb5dafb348f39a5,44566290
6274d31f2a7b5ba0fd901294b69f149ac84c15986976c7ec7fdce7c4,148689444
c0960051779497477b7990f39f17bf14442e56a70bf43f068d1cf57e,72808832
c11f654d8903679a66bb77686c7c6f49d09af62f797185f8c7c0e49f,55200803
2a38fe999e0e75a82a46c4841e9cb6c5cc1ad23da92ebcd58f2181f4,60170561
6a39cb26c6a2823249a00a767353304514a5ceadccdc570d602910df,53794242
ebb3c77c9d613815a380172a1ccc3f14b656b3a637c068209100501e,949347680
127b60ff72402a0ba4e55a3f6ca7011738f33d513845665617fc5fe2,124359848
3be428fc2cb36728ab76aee104591046834cc83661f5855a7926897f,126148114
26d702686fa341ce1601573e3789afb5134e174afc194ba4ec6a1365,403858039
7611008b3de65e46f9042de3a1d6a0cb36abb72af0865e08182f07fa,1967874189
65cd766d46f62eab67d9b1a65439c024d447ec9d16411f69728a1ece,55200803
